region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Adygea Republic,2020-02-20,1,1,1,1,1,1
Adygea Republic,2020-02-21,0,0,0,0,0,1
Adygea Republic,2020-02-22,1,1,1,1,1,1
Adygea Republic,2020-02-23,0,0,0,0,0,1
Adygea Republic,2020-02-24,0,0,0,0,0,1
Adygea Republic,2020-02-25,0,0,0,0,0,1
Adygea Republic,2020-02-26,1,0,1,1,1,1
Adygea Republic,2020-02-27,0,0,1,0,0,1
Adygea Republic,2020-02-28,0,0,1,0,0,1
Adygea Republic,2020-02-29,0,0,1,0,0,1
Adygea Republic,2020-03-01,0,0,1,0,0,1
Adygea Republic,2020-03-02,0,0,1,0,0,1
Adygea Republic,2020-03-03,0,0,1,0,0,1
Adygea Republic,2020-03-04,0,0,1,0,0,1
Adygea Republic,2020-03-05,0,0,1,0,0,1
Adygea Republic,2020-03-06,0,0,1,0,0,1
Adygea Republic,2020-03-07,0,0,1,0,0,1
Adygea Republic,2020-03-08,0,0,1,0,0,1
Adygea Republic,2020-03-09,0,0,1,0,0,1
Adygea Republic,2020-03-10,0,0,1,0,0,1
Adygea Republic,2020-03-11,0,0,1,0,0,1
Adygea Republic,2020-03-12,0,0,1,0,0,1
Adygea Republic,2020-03-13,0,0,1,0,0,1
Adygea Republic,2020-03-14,0,0,1,0,0,1
Adygea Republic,2020-03-15,0,0,1,0,0,1
Adygea Republic,2020-03-16,0,0,1,0,0,1
Adygea Republic,2020-03-17,0,0,2,0,0,1
Adygea Republic,2020-03-18,1,0,2,0,1,1
Adygea Republic,2020-03-19,1,0,2,0,1,1
Adygea Republic,2020-03-20,1,0,2,0,1,1
Adygea Republic,2020-03-21,1,0,2,0,1,1
Adygea Republic,2020-03-22,1,0,3,0,1,1
Adygea Republic,2020-03-23,1,0,3,0,1,1
Adygea Republic,2020-03-24,1,0,3,0,1,1
Adygea Republic,2020-03-25,1,0,3,0,1,1
Adygea Republic,2020-03-26,2,0,4,1,2,1
Adygea Republic,2020-03-27,2,0,4,1,2,1
Adygea Republic,2020-03-28,2,0,4,0,2,1
Adygea Republic,2020-03-29,2,0,5,0,2,1
Adygea Republic,2020-03-30,3,0,5,1,3,1
Adygea Republic,2020-03-31,3,1,6,1,3,1
Adygea Republic,2020-04-01,4,0,6,2,4,1
Adygea Republic,2020-04-02,4,1,7,2,4,1
Adygea Republic,2020-04-03,4,0,7,3,5,1
Adygea Republic,2020-04-04,5,2,9,4,6,1
Adygea Republic,2020-04-05,6,3,10,3,6,1
Adygea Republic,2020-04-06,6,2,10,4,7,1
Adygea Republic,2020-04-07,7,3,11,5,8,1
Adygea Republic,2020-04-08,8,4,12,6,9,1
Adygea Republic,2020-04-09,8,3,12,6,9,1
Adygea Republic,2020-04-10,9,4,13,7,10,1
Adygea Republic,2020-04-11,9,4,13,7,10,1
Adygea Republic,2020-04-12,8,4,13,6,9,1
Adygea Republic,2020-04-13,8,3,12,6,9,1
Adygea Republic,2020-04-14,8,2,11,5,8,1
Adygea Republic,2020-04-15,7,3,11,4,7,1
Adygea Republic,2020-04-16,6,2,10,4,7,1
Adygea Republic,2020-04-17,6,3,10,4,7,1
Adygea Republic,2020-04-18,6,2,10,4,7,1
Adygea Republic,2020-04-19,7,2,10,4,7,1
Adygea Republic,2020-04-20,7,3,11,4,7,1
Adygea Republic,2020-04-21,7,3,11,5,8,1
Adygea Republic,2020-04-22,8,3,12,6,9,1
Adygea Republic,2020-04-23,8,3,12,6,9,1
Adygea Republic,2020-04-24,8,3,12,6,9,1
Adygea Republic,2020-04-25,8,5,14,7,10,1
Adygea Republic,2020-04-26,9,4,14,5,9,1
Adygea Republic,2020-04-27,10,5,15,7,11,1
Adygea Republic,2020-04-28,11,5,16,7,11,0.99
Adygea Republic,2020-04-29,12,5,17,9,13,0.99
Adygea Republic,2020-04-30,13,6,19,9,14,0.99
Adygea Republic,2020-05-01,15,8,21,11,16,0.99
Adygea Republic,2020-05-02,16,9,23,11,17,0.98
Adygea Republic,2020-05-03,18,10,24,16,21,0.98
Adygea Republic,2020-05-04,20,12,27,16,22,0.97
Adygea Republic,2020-05-05,23,14,31,19,25,0.96
Adygea Republic,2020-05-06,26,16,33,22,28,0.95
Adygea Republic,2020-05-07,29,19,37,24,31,0.94
Adygea Republic,2020-05-08,31,21,40,25,33,0.92
Adygea Republic,2020-05-09,34,24,45,28,36,0.9
Adygea Republic,2020-05-10,37,25,47,31,39,0.87
Adygea Republic,2020-05-11,39,28,51,33,42,0.84
Adygea Republic,2020-05-12,41,28,53,33,43,0.79
Altai Krai,2020-02-16,1,1,1,1,1,1
Altai Krai,2020-02-17,0,0,0,0,0,1
Altai Krai,2020-02-18,0,0,0,0,0,1
Altai Krai,2020-02-19,0,0,0,0,0,1
Altai Krai,2020-02-20,0,0,0,0,0,1
Altai Krai,2020-02-21,0,0,0,0,0,1
Altai Krai,2020-02-22,1,0,1,1,1,1
Altai Krai,2020-02-23,0,0,0,0,0,1
Altai Krai,2020-02-24,0,0,1,0,0,1
Altai Krai,2020-02-25,0,0,1,0,0,1
Altai Krai,2020-02-26,0.5,0,1,0,1,1
Altai Krai,2020-02-27,0,0,1,0,0,1
Altai Krai,2020-02-28,0,0,1,0,0,1
Altai Krai,2020-02-29,0,0,1,0,0,1
Altai Krai,2020-03-01,0,0,1,0,0,1
Altai Krai,2020-03-02,0,0,1,0,0,1
Altai Krai,2020-03-03,0,0,1,0,0,1
Altai Krai,2020-03-04,0,0,1,0,0,1
Altai Krai,2020-03-05,0,0,1,0,0,1
Altai Krai,2020-03-06,0,0,1,0,0,1
Altai Krai,2020-03-07,0,0,1,0,0,1
Altai Krai,2020-03-08,0,0,1,0,0,1
Altai Krai,2020-03-09,0,0,1,0,0,1
Altai Krai,2020-03-10,0,0,1,0,0,1
Altai Krai,2020-03-11,0,0,1,0,0,1
Altai Krai,2020-03-12,0,0,1,0,0,1
Altai Krai,2020-03-13,0,0,1,0,0,1
Altai Krai,2020-03-14,0,0,1,0,0,1
Altai Krai,2020-03-15,0,0,1,0,0,1
Altai Krai,2020-03-16,0,0,1,0,0,1
Altai Krai,2020-03-17,0,0,2,0,0,1
Altai Krai,2020-03-18,0,0,2,0,0,1
Altai Krai,2020-03-19,1,0,2,0,1,1
Altai Krai,2020-03-20,1,0,2,0,1,1
Altai Krai,2020-03-21,1,0,2,0,1,1
Altai Krai,2020-03-22,1,0,3,0,1,1
Altai Krai,2020-03-23,1,0,3,0,1,1
Altai Krai,2020-03-24,2,0,4,1,2,1
Altai Krai,2020-03-25,2,0,4,1,2,1
Altai Krai,2020-03-26,2,0,5,0,2,1
Altai Krai,2020-03-27,3,0,5,1,3,1
Altai Krai,2020-03-28,3,1,6,1,3,1
Altai Krai,2020-03-29,3,0,6,1,3,1
Altai Krai,2020-03-30,4,1,7,2,4,1
Altai Krai,2020-03-31,4,1,8,3,5,1
Altai Krai,2020-04-01,5,2,9,2,5,1
Altai Krai,2020-04-02,6,2,10,3,6,1
Altai Krai,2020-04-03,6,1,10,4,7,1
Altai Krai,2020-04-04,7,3,12,5,8,1
Altai Krai,2020-04-05,8,4,13,6,9,1
Altai Krai,2020-04-06,9,3,14,5,9,1
Altai Krai,2020-04-07,10,5,16,8,12,1
Altai Krai,2020-04-08,12,5,17,7,12,1
Altai Krai,2020-04-09,14,7,20,10,15,1
Altai Krai,2020-04-10,16,9,22,12,17,1
Altai Krai,2020-04-11,18,10,25,14,19,1
Altai Krai,2020-04-12,20,13,28,15,21,1
Altai Krai,2020-04-13,22,13,29,17,23,1
Altai Krai,2020-04-14,24,16,31,20,26,1
Altai Krai,2020-04-15,26,17,34,20,27,1
Altai Krai,2020-04-16,27,19,35,23,29,1
Altai Krai,2020-04-17,29,20,37,23,30,1
Altai Krai,2020-04-18,30,21,38,25,32,1
Altai Krai,2020-04-19,32,22,40,26,33,1
Altai Krai,2020-04-20,32,23,40,27,34,1
Altai Krai,2020-04-21,33,24,41,28,35,1
Altai Krai,2020-04-22,33,24,41,28,35,1
Altai Krai,2020-04-23,31,22,40,26,33,1
Altai Krai,2020-04-24,30,22,38,27,33,1
Altai Krai,2020-04-25,31,21,38,27,33,1
Altai Krai,2020-04-26,31,21,38,27,34,1
Altai Krai,2020-04-27,31,20,38,26,33,1
Altai Krai,2020-04-28,31,21,39,25,32,0.99
Altai Krai,2020-04-29,30,21,38,26,33,0.99
Altai Krai,2020-04-30,30,21,38,24,31,0.99
Altai Krai,2020-05-01,31,21,39,26,33,0.99
Altai Krai,2020-05-02,32,21,40,28,35,0.98
Altai Krai,2020-05-03,32,23,41,28,35,0.98
Altai Krai,2020-05-04,34.5,25,44,28,36,0.97
Altai Krai,2020-05-05,37,27,47,30,38,0.97
Altai Krai,2020-05-06,38,27,48,33,41,0.96
Altai Krai,2020-05-07,40,28,49,34,42,0.94
Altai Krai,2020-05-08,42,30,52,38,46,0.93
Altai Krai,2020-05-09,44,32,54,37,46,0.91
Altai Krai,2020-05-10,45,32,56,38,47,0.88
Altai Krai,2020-05-11,47,35,59,39,49,0.85
Altai Krai,2020-05-12,49,37,62,42,52,0.81
Arkhangelsk Oblast,2020-02-06,1,1,1,1,1,1
Arkhangelsk Oblast,2020-02-07,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-08,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-09,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-10,0.5,0,1,0,1,1
Arkhangelsk Oblast,2020-02-11,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-12,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-13,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-14,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-15,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-16,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-17,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-18,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-19,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-20,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-21,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-22,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-23,0,0,0,0,0,1
Arkhangelsk Oblast,2020-02-24,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-25,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-26,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-27,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-28,0,0,1,0,0,1
Arkhangelsk Oblast,2020-02-29,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-01,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-02,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-03,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-04,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-05,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-06,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-07,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-08,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-09,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-10,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-11,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-12,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-13,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-14,0,0,1,0,0,1
Arkhangelsk Oblast,2020-03-15,0,0,2,0,0,1
Arkhangelsk Oblast,2020-03-16,0,0,2,0,0,1
Arkhangelsk Oblast,2020-03-17,1,0,2,0,1,1
Arkhangelsk Oblast,2020-03-18,1,0,2,0,1,1
Arkhangelsk Oblast,2020-03-19,1,0,2,0,1,1
Arkhangelsk Oblast,2020-03-20,1,0,2,0,1,1
Arkhangelsk Oblast,2020-03-21,1,0,2,0,1,1
Arkhangelsk Oblast,2020-03-22,1,0,3,0,1,1
Arkhangelsk Oblast,2020-03-23,1,0,3,0,1,1
Arkhangelsk Oblast,2020-03-24,1,0,3,0,1,1
Arkhangelsk Oblast,2020-03-25,1,0,3,0,1,1
Arkhangelsk Oblast,2020-03-26,2,0,4,1,2,1
Arkhangelsk Oblast,2020-03-27,2,0,4,1,2,1
Arkhangelsk Oblast,2020-03-28,2,0,4,0,2,1
Arkhangelsk Oblast,2020-03-29,2,0,5,0,2,1
Arkhangelsk Oblast,2020-03-30,3,0,6,1,3,1
Arkhangelsk Oblast,2020-03-31,3,1,6,1,3,1
Arkhangelsk Oblast,2020-04-01,4,0,6,2,4,1
Arkhangelsk Oblast,2020-04-02,4,0,7,3,5,1
Arkhangelsk Oblast,2020-04-03,5,1,8,3,5,1
Arkhangelsk Oblast,2020-04-04,5,1,8,2,5,1
Arkhangelsk Oblast,2020-04-05,6,2,9,3,6,1
Arkhangelsk Oblast,2020-04-06,6,1,10,4,7,1
Arkhangelsk Oblast,2020-04-07,7,2,11,5,8,1
Arkhangelsk Oblast,2020-04-08,8,3,12,6,9,1
Arkhangelsk Oblast,2020-04-09,9,4,14,6,10,1
Arkhangelsk Oblast,2020-04-10,10,5,15,7,11,1
Arkhangelsk Oblast,2020-04-11,12,7,17,8,12,1
Arkhangelsk Oblast,2020-04-12,12,6,17,9,13,1
Arkhangelsk Oblast,2020-04-13,13,8,19,10,14,1
Arkhangelsk Oblast,2020-04-14,13,8,19,11,15,1
Arkhangelsk Oblast,2020-04-15,13,6,18,11,15,1
Arkhangelsk Oblast,2020-04-16,13,7,18,10,14,1
Arkhangelsk Oblast,2020-04-17,13,7,18,10,14,1
Arkhangelsk Oblast,2020-04-18,13,7,19,9,14,1
Arkhangelsk Oblast,2020-04-19,14,7,19,10,15,1
Arkhangelsk Oblast,2020-04-20,15,9,21,12,17,1
Arkhangelsk Oblast,2020-04-21,16,10,23,12,17,1
Arkhangelsk Oblast,2020-04-22,17,10,24,13,18,1
Arkhangelsk Oblast,2020-04-23,19,11,25,13,19,1
Arkhangelsk Oblast,2020-04-24,20,12,27,15,21,1
Arkhangelsk Oblast,2020-04-25,22,14,29,17,23,1
Arkhangelsk Oblast,2020-04-26,23,14,30,20,26,1
Arkhangelsk Oblast,2020-04-27,25,16,32,19,26,1
Arkhangelsk Oblast,2020-04-28,26,17,33,21,27,0.99
Arkhangelsk Oblast,2020-04-29,27,19,35,22,29,0.99
Arkhangelsk Oblast,2020-04-30,28,19,36,23,30,0.99
Arkhangelsk Oblast,2020-05-01,29,21,38,26,32,0.99
Arkhangelsk Oblast,2020-05-02,30,20,38,25,32,0.98
Arkhangelsk Oblast,2020-05-03,32,24,41,28,35,0.98
Arkhangelsk Oblast,2020-05-04,34,24,43,27,35,0.97
Arkhangelsk Oblast,2020-05-05,35,25,44,28,36,0.96
Arkhangelsk Oblast,2020-05-06,37,27,46,31,39,0.95
Arkhangelsk Oblast,2020-05-07,39,28,48,33,41,0.94
Arkhangelsk Oblast,2020-05-08,40,28,50,35,43,0.92
Arkhangelsk Oblast,2020-05-09,41,30,52,37,45,0.9
Arkhangelsk Oblast,2020-05-10,42,32,54,36,45,0.88
Arkhangelsk Oblast,2020-05-11,43.5,31,55,39,48,0.84
Arkhangelsk Oblast,2020-05-12,44,32,57,37,47,0.8
Astrakhan Oblast,2020-02-21,1,1,1,1,1,1
Astrakhan Oblast,2020-02-22,0,0,0,0,0,1
Astrakhan Oblast,2020-02-23,0.5,0,1,0,1,1
Astrakhan Oblast,2020-02-24,0,0,1,0,0,1
Astrakhan Oblast,2020-02-25,0,0,1,0,0,1
Astrakhan Oblast,2020-02-26,0,0,1,0,0,1
Astrakhan Oblast,2020-02-27,0,0,1,0,0,1
Astrakhan Oblast,2020-02-28,0,0,1,0,0,1
Astrakhan Oblast,2020-02-29,0,0,1,0,0,1
Astrakhan Oblast,2020-03-01,0,0,1,0,0,1
Astrakhan Oblast,2020-03-02,0,0,1,0,0,1
Astrakhan Oblast,2020-03-03,0,0,1,0,0,1
Astrakhan Oblast,2020-03-04,0,0,1,0,0,1
Astrakhan Oblast,2020-03-05,0,0,1,0,0,1
Astrakhan Oblast,2020-03-06,0,0,1,0,0,1
Astrakhan Oblast,2020-03-07,0,0,1,0,0,1
Astrakhan Oblast,2020-03-08,0,0,1,0,0,1
Astrakhan Oblast,2020-03-09,0,0,1,0,0,1
Astrakhan Oblast,2020-03-10,0,0,1,0,0,1
Astrakhan Oblast,2020-03-11,0,0,1,0,0,1
Astrakhan Oblast,2020-03-12,0,0,1,0,0,1
Astrakhan Oblast,2020-03-13,0,0,1,0,0,1
Astrakhan Oblast,2020-03-14,0,0,1,0,0,1
Astrakhan Oblast,2020-03-15,0,0,1,0,0,1
Astrakhan Oblast,2020-03-16,0,0,1,0,0,1
Astrakhan Oblast,2020-03-17,0,0,2,0,0,1
Astrakhan Oblast,2020-03-18,1,0,2,0,1,1
Astrakhan Oblast,2020-03-19,0,0,2,0,0,1
Astrakhan Oblast,2020-03-20,1,0,2,0,1,1
Astrakhan Oblast,2020-03-21,1,0,2,0,1,1
Astrakhan Oblast,2020-03-22,1,0,3,0,1,1
Astrakhan Oblast,2020-03-23,1,0,3,0,1,1
Astrakhan Oblast,2020-03-24,1,0,4,0,1,1
Astrakhan Oblast,2020-03-25,2,0,4,1,2,1
Astrakhan Oblast,2020-03-26,2,0,4,1,2,1
Astrakhan Oblast,2020-03-27,2,0,5,0,2,1
Astrakhan Oblast,2020-03-28,3,0,6,1,3,1
Astrakhan Oblast,2020-03-29,4,0,6,2,4,1
Astrakhan Oblast,2020-03-30,4,1,7,3,5,1
Astrakhan Oblast,2020-03-31,5,2,9,2,5,1
Astrakhan Oblast,2020-04-01,6,2,10,3,6,1
Astrakhan Oblast,2020-04-02,7,2,11,4,7,1
Astrakhan Oblast,2020-04-03,8,3,12,6,9,1
Astrakhan Oblast,2020-04-04,9,4,14,5,9,1
Astrakhan Oblast,2020-04-05,10,5,15,6,10,1
Astrakhan Oblast,2020-04-06,11,5,16,8,12,1
Astrakhan Oblast,2020-04-07,12,6,18,8,13,1
Astrakhan Oblast,2020-04-08,14,8,20,10,15,1
Astrakhan Oblast,2020-04-09,15,9,22,11,16,1
Astrakhan Oblast,2020-04-10,17,10,24,12,18,1
Astrakhan Oblast,2020-04-11,18,10,24,15,20,1
Astrakhan Oblast,2020-04-12,20,11,26,15,21,1
Astrakhan Oblast,2020-04-13,21,14,29,16,22,1
Astrakhan Oblast,2020-04-14,22,14,29,17,23,1
Astrakhan Oblast,2020-04-15,23,16,31,18,24,1
Astrakhan Oblast,2020-04-16,25,16,32,22,28,1
Astrakhan Oblast,2020-04-17,26,16,33,22,28,1
Astrakhan Oblast,2020-04-18,28,18,34,23,29,1
Astrakhan Oblast,2020-04-19,29,20,37,23,30,1
Astrakhan Oblast,2020-04-20,30,21,38,25,32,1
Astrakhan Oblast,2020-04-21,31,21,39,25,32,1
Astrakhan Oblast,2020-04-22,32,24,41,27,34,1
Astrakhan Oblast,2020-04-23,32,23,41,27,34,1
Astrakhan Oblast,2020-04-24,33,23,41,30,37,1
Astrakhan Oblast,2020-04-25,34,25,43,31,37,1
Astrakhan Oblast,2020-04-26,35,25,44,30,37,1
Astrakhan Oblast,2020-04-27,36.5,26,46,32,39,1
Astrakhan Oblast,2020-04-28,37,27,46,34,41,0.99
Astrakhan Oblast,2020-04-29,39,28,47,35,42,0.99
Astrakhan Oblast,2020-04-30,39,28,48,32,40,0.99
Astrakhan Oblast,2020-05-01,40,30,50,34,42,0.99
Astrakhan Oblast,2020-05-02,41,29,50,34,42,0.98
Astrakhan Oblast,2020-05-03,42,32,52,38,46,0.98
Astrakhan Oblast,2020-05-04,42,32,52,37,45,0.97
Astrakhan Oblast,2020-05-05,44,33,54,36,45,0.97
Astrakhan Oblast,2020-05-06,44,34,54,41,49,0.96
Astrakhan Oblast,2020-05-07,44,32,54,39,47,0.94
Astrakhan Oblast,2020-05-08,44,31,54,38,47,0.93
Astrakhan Oblast,2020-05-09,44,34,56,39,48,0.91
Astrakhan Oblast,2020-05-10,45,32,55,38,47,0.88
Astrakhan Oblast,2020-05-11,45,33,57,39,48,0.85
Astrakhan Oblast,2020-05-12,46,32,58,38,48,0.8
Bashkortostan Republic,2020-02-09,1,1,1,1,1,1
Bashkortostan Republic,2020-02-10,0,0,0,0,0,1
Bashkortostan Republic,2020-02-11,0,0,0,0,0,1
Bashkortostan Republic,2020-02-12,0,0,0,0,0,1
Bashkortostan Republic,2020-02-13,0,0,0,0,0,1
Bashkortostan Republic,2020-02-14,1,1,1,1,1,1
Bashkortostan Republic,2020-02-15,0.5,0,1,0,1,1
Bashkortostan Republic,2020-02-16,0,0,1,0,0,1
Bashkortostan Republic,2020-02-17,0,0,1,0,0,1
Bashkortostan Republic,2020-02-18,0,0,0,0,0,1
Bashkortostan Republic,2020-02-19,0,0,1,0,0,1
Bashkortostan Republic,2020-02-20,0,0,1,0,0,1
Bashkortostan Republic,2020-02-21,0,0,1,0,0,1
Bashkortostan Republic,2020-02-22,0,0,1,0,0,1
Bashkortostan Republic,2020-02-23,0,0,1,0,0,1
Bashkortostan Republic,2020-02-24,0,0,1,0,0,1
Bashkortostan Republic,2020-02-25,0,0,1,0,0,1
Bashkortostan Republic,2020-02-26,0,0,1,0,0,1
Bashkortostan Republic,2020-02-27,0,0,1,0,0,1
Bashkortostan Republic,2020-02-28,0,0,1,0,0,1
Bashkortostan Republic,2020-02-29,0,0,1,0,0,1
Bashkortostan Republic,2020-03-01,0,0,1,0,0,1
Bashkortostan Republic,2020-03-02,0,0,1,0,0,1
Bashkortostan Republic,2020-03-03,0,0,1,0,0,1
Bashkortostan Republic,2020-03-04,0,0,1,0,0,1
Bashkortostan Republic,2020-03-05,0,0,1,0,0,1
Bashkortostan Republic,2020-03-06,0,0,1,0,0,1
Bashkortostan Republic,2020-03-07,0,0,1,0,0,1
Bashkortostan Republic,2020-03-08,0,0,1,0,0,1
Bashkortostan Republic,2020-03-09,0,0,1,0,0,1
Bashkortostan Republic,2020-03-10,0,0,1,0,0,1
Bashkortostan Republic,2020-03-11,0,0,1,0,0,1
Bashkortostan Republic,2020-03-12,0,0,2,0,0,1
Bashkortostan Republic,2020-03-13,0,0,2,0,0,1
Bashkortostan Republic,2020-03-14,1,0,2,0,1,1
Bashkortostan Republic,2020-03-15,1,0,2,0,1,1
Bashkortostan Republic,2020-03-16,1,0,3,0,1,1
Bashkortostan Republic,2020-03-17,1,0,3,0,1,1
Bashkortostan Republic,2020-03-18,1,0,3,0,1,1
Bashkortostan Republic,2020-03-19,2,0,4,1,2,1
Bashkortostan Republic,2020-03-20,2,0,4,1,2,1
Bashkortostan Republic,2020-03-21,2,0,5,0,2,1
Bashkortostan Republic,2020-03-22,2,0,5,0,2,1
Bashkortostan Republic,2020-03-23,3,0,6,1,3,1
Bashkortostan Republic,2020-03-24,4,0,7,2,4,1
Bashkortostan Republic,2020-03-25,4,1,8,1,4,1
Bashkortostan Republic,2020-03-26,5,0,9,3,6,1
Bashkortostan Republic,2020-03-27,7,2,11,3,7,1
Bashkortostan Republic,2020-03-28,8,3,13,4,8,1
Bashkortostan Republic,2020-03-29,9,4,15,6,10,1
Bashkortostan Republic,2020-03-30,11,5,17,8,12,1
Bashkortostan Republic,2020-03-31,13,6,19,8,13,1
Bashkortostan Republic,2020-04-01,15,8,22,11,16,1
Bashkortostan Republic,2020-04-02,17,9,24,13,19,1
Bashkortostan Republic,2020-04-03,20,11,27,15,21,1
Bashkortostan Republic,2020-04-04,23,13,30,17,24,1
Bashkortostan Republic,2020-04-05,25,16,33,19,26,1
Bashkortostan Republic,2020-04-06,27,20,37,22,29,1
Bashkortostan Republic,2020-04-07,29,21,38,25,32,1
Bashkortostan Republic,2020-04-08,31,21,40,26,33,1
Bashkortostan Republic,2020-04-09,33,22,41,29,36,1
Bashkortostan Republic,2020-04-10,35,24,43,30,37,1
Bashkortostan Republic,2020-04-11,37,25,46,32,40,1
Bashkortostan Republic,2020-04-12,39,27,49,33,41,1
Bashkortostan Republic,2020-04-13,41,30,51,35,43,1
Bashkortostan Republic,2020-04-14,43,31,53,35,44,1
Bashkortostan Republic,2020-04-15,45,34,55,40,48,1
Bashkortostan Republic,2020-04-16,48,37,60,41,50,1
Bashkortostan Republic,2020-04-17,50,37,61,44,53,1
Bashkortostan Republic,2020-04-18,52,39,63,44,54,1
Bashkortostan Republic,2020-04-19,55,44,68,47,57,1
Bashkortostan Republic,2020-04-20,58,45,70,50,60,1
Bashkortostan Republic,2020-04-21,62,48,75,56,66,1
Bashkortostan Republic,2020-04-22,65,50,77,56,67,1
Bashkortostan Republic,2020-04-23,68,54,79,61,71,1
Bashkortostan Republic,2020-04-24,70,58,84,64,74,1
Bashkortostan Republic,2020-04-25,71,58,85,62,73,1
Bashkortostan Republic,2020-04-26,72,59,86,63,74,1
Bashkortostan Republic,2020-04-27,72,58,85,63,74,1
Bashkortostan Republic,2020-04-28,73,60,85,68,78,0.99
Bashkortostan Republic,2020-04-29,73,60,86,66,76,0.99
Bashkortostan Republic,2020-04-30,74,59,87,67,78,0.99
Bashkortostan Republic,2020-05-01,75,62,89,67,78,0.99
Bashkortostan Republic,2020-05-02,77,63,91,71,82,0.98
Bashkortostan Republic,2020-05-03,79,64,93,72,83,0.98
Bashkortostan Republic,2020-05-04,81,65,94,75,86,0.97
Bashkortostan Republic,2020-05-05,83,68,97,74,86,0.97
Bashkortostan Republic,2020-05-06,84,70,97,77,88,0.96
Bashkortostan Republic,2020-05-07,84,70,99,77,89,0.94
Bashkortostan Republic,2020-05-08,86,71,100,80,92,0.93
Bashkortostan Republic,2020-05-09,88,72,103,80,92,0.91
Bashkortostan Republic,2020-05-10,90,74,106,86,98,0.88
Bashkortostan Republic,2020-05-11,91,75,108,83,97,0.85
Bashkortostan Republic,2020-05-12,91,74,108,83,96,0.81
Belgorod Oblast,2020-02-18,1,1,1,1,1,1
Belgorod Oblast,2020-02-19,0.5,0,1,0,1,1
Belgorod Oblast,2020-02-20,0.5,0,1,0,1,1
Belgorod Oblast,2020-02-21,0,0,1,0,0,1
Belgorod Oblast,2020-02-22,0,0,1,0,0,1
Belgorod Oblast,2020-02-23,0,0,1,0,0,1
Belgorod Oblast,2020-02-24,0,0,1,0,0,1
Belgorod Oblast,2020-02-25,0,0,1,0,0,1
Belgorod Oblast,2020-02-26,0,0,1,0,0,1
Belgorod Oblast,2020-02-27,0,0,1,0,0,1
Belgorod Oblast,2020-02-28,0,0,1,0,0,1
Belgorod Oblast,2020-02-29,0,0,1,0,0,1
Belgorod Oblast,2020-03-01,0,0,1,0,0,1
Belgorod Oblast,2020-03-02,0,0,1,0,0,1
Belgorod Oblast,2020-03-03,0,0,1,0,0,1
Belgorod Oblast,2020-03-04,0,0,1,0,0,1
Belgorod Oblast,2020-03-05,0,0,1,0,0,1
Belgorod Oblast,2020-03-06,0,0,1,0,0,1
Belgorod Oblast,2020-03-07,0,0,1,0,0,1
Belgorod Oblast,2020-03-08,0,0,1,0,0,1
Belgorod Oblast,2020-03-09,0,0,1,0,0,1
Belgorod Oblast,2020-03-10,0,0,1,0,0,1
Belgorod Oblast,2020-03-11,0,0,1,0,0,1
Belgorod Oblast,2020-03-12,0,0,1,0,0,1
Belgorod Oblast,2020-03-13,0,0,1,0,0,1
Belgorod Oblast,2020-03-14,0,0,1,0,0,1
Belgorod Oblast,2020-03-15,0,0,1,0,0,1
Belgorod Oblast,2020-03-16,0,0,2,0,0,1
Belgorod Oblast,2020-03-17,0,0,2,0,0,1
Belgorod Oblast,2020-03-18,1,0,2,0,1,1
Belgorod Oblast,2020-03-19,1,0,2,0,1,1
